224 10 28
 166.78470    4.76175   -3.44953   -3.39997   -7.52972   -7.76087   -4.64060   -8.93905   -5.44933 2128.00029 1867.00092 1600.00129 1345.00006 1116.00029  879.00009  669.00177  509.99999  393.00052  315.00019  252.00081  222.00058  218.99935  216.00036  209.99888    0.01100    0.00009  -35.24681  498.29494 
 166.78398    4.76376   -3.44903   -3.39905   -7.52449   -7.76080   -4.63539   -8.94315   -5.44906 2127.99874 1866.99957 1600.00019 1344.99789 1115.99713  878.99957  668.99583  509.99537  393.00272  315.00407  252.00346  222.00074  218.99971  215.99633  209.99827    0.01302   -0.00112  -35.24465  498.67474 
 166.78638    4.72969   -3.42945   -3.41244   -7.49508   -7.74961   -4.63461   -8.95932   -5.45871 2127.99680 1866.99372 1599.97187 1344.98948 1115.97732  879.01301  669.03232  509.98463  393.02097  314.97895  251.99564  221.98361  218.98967  216.01587  209.99630    0.02498    0.00807  -35.25320  485.85932 
 166.77585    4.76446   -3.45631   -3.39796   -7.51457   -7.75356   -4.65096   -8.93773   -5.45462 2128.00813 1866.99924 1600.00441 1345.00043 1115.99832  878.99505  668.99994  509.99802  393.00692  314.99516  251.99476  221.99132  218.99249  216.00310  209.99659    0.01862    0.00389  -35.24018  500.28842 
 166.78852    4.75819   -3.45633   -3.39907   -7.53567   -7.76066   -4.64816   -8.92858   -5.45631 2128.00232 1867.00351 1600.00259 1344.99624 1116.00913  878.98758  668.98742  509.99750  392.99537  314.99754  251.99193  222.00099  218.99715  215.99996  210.00358    0.01625    0.00450  -35.24777  498.21763 
 166.78416    4.75855   -3.45036   -3.40125   -7.53005   -7.75979   -4.64007   -8.94261   -5.45121 2128.00106 1866.99979 1600.00073 1345.00025 1116.00009  879.00090  669.00003  510.00089  393.00034  315.00010  251.99861  221.99884  218.99858  215.99984  209.99977    0.01028   -0.00036  -35.24625  497.50755 
 166.78125    4.76126   -3.44599   -3.39810   -7.51924   -7.75881   -4.64184   -8.94740   -5.45583 2127.99787 1866.99561 1599.99291 1344.99501 1115.99269  879.00373  668.99761  509.99395  393.00289  315.00464  252.00250  222.00051  218.99286  215.99977  210.00673    0.01371   -0.00441  -35.24372  497.26373 
 166.79906    4.75872   -3.45638   -3.40040   -7.52813   -7.78389   -4.64289   -8.94569   -5.45543 2128.01138 1867.00209 1600.00201 1345.00288 1116.00145  878.97607  669.00722  510.00768  392.98976  315.00772  252.00294  222.00124  219.00696  216.01568  210.00173    0.01391   -0.00079  -35.24503  498.51997 
 166.78333    4.76028   -3.44879   -3.39989   -7.52960   -7.76081   -4.64001   -8.93992   -5.45068 2127.99989 1866.99978 1600.00007 1345.00069 1116.00038  879.00135  669.00015  510.00026  392.99997  314.99959  252.00094  222.00096  218.99985  215.99946  210.00109    0.01032    0.00044  -35.24666  497.63800 
 166.78469    4.76029   -3.45065   -3.40064   -7.53018   -7.75943   -4.63957   -8.93930   -5.45164 2127.99932 1866.99994 1599.99872 1345.00000 1116.00059  878.99995  668.99659  510.00187  392.99939  315.00057  252.00169  222.00049  219.00151  216.00054  210.00244    0.01134    0.00027  -35.24758  498.06175 
 166.77758    4.76320   -3.44935   -3.40650   -7.53395   -7.75930   -4.64219   -8.93116   -5.44625 2127.99448 1867.00431 1599.99360 1344.99587 1115.99581  878.99218  669.00255  510.00243  392.98856  315.00400  252.00335  221.99917  219.00261  215.99897  209.99838    0.01474   -0.00529  -35.25618  499.76465 
 166.80139    4.75430   -3.45702   -3.40206   -7.52277   -7.74878   -4.63752   -8.92452   -5.46438 2128.01120 1867.00015 1599.99839 1344.99564 1116.01955  879.02542  668.98768  510.00496  393.00668  315.00367  252.01717  221.99681  218.99482  215.98305  210.00040    0.02725   -0.01957  -35.23732  497.24930 
 166.80781    4.77749   -3.44251   -3.40349   -7.52223   -7.73667   -4.64427   -8.95632   -5.46359 2127.98133 1867.00854 1599.99888 1344.96626 1115.98592  878.99161  669.00770  510.01411  392.98428  314.99499  251.98714  221.99385  219.01973  216.00055  209.97469    0.01930    0.00194  -35.25563  503.22966 
 166.78498    4.76061   -3.45009   -3.40003   -7.52936   -7.76108   -4.63889   -8.94136   -5.45014 2128.00026 1866.99947 1600.00012 1345.00039 1116.00030  879.00139  668.99942  510.00138  392.99798  314.99956  252.00114  222.00078  218.99897  216.00077  209.99984    0.01110    0.00001  -35.24781  497.97515 
